Training for 1 epochs (250065 iterations).
Accuracy 0.19768934531450577
Epoch 1
Iteration:  22200 	Average Loss:  1.4056626459624255
Iteration:  22300 	Average Loss:  1.382246686419053
Iteration:  22400 	Average Loss:  1.5217351110284352
Iteration:  22500 	Average Loss:  1.3694316747404272
Iteration:  22600 	Average Loss:  1.4241185905694003
Iteration:  22700 	Average Loss:  1.3096149539742898
Iteration:  22800 	Average Loss:  1.2646354397939696
Iteration:  22900 	Average Loss:  1.368021468294981
Iteration:  23000 	Average Loss:  1.4355873520584133
Iteration:  23100 	Average Loss:  1.150249184168764
Iteration:  23200 	Average Loss:  1.4433119044251017
Iteration:  23300 	Average Loss:  1.4251273673137452
Iteration:  23400 	Average Loss:  1.292065843991508
Iteration:  23500 	Average Loss:  1.2054291692347616
Iteration:  23600 	Average Loss:  1.3529921972897667
Iteration:  23700 	Average Loss:  1.4521609394658979
Iteration:  23800 	Average Loss:  1.159892846297711
Iteration:  23900 	Average Loss:  1.439106901848161
Iteration:  24000 	Average Loss:  1.2259677983059936
Iteration:  24100 	Average Loss:  1.502810969057235
Iteration:  24200 	Average Loss:  1.2070256117682203
Iteration:  24300 	Average Loss:  1.408703531912649
Iteration:  24400 	Average Loss:  1.3069720773431321
Iteration:  24500 	Average Loss:  1.2755145198595073
Iteration:  24600 	Average Loss:  1.275962533413413
Iteration:  24700 	Average Loss:  1.375160894578486
Iteration:  24800 	Average Loss:  1.480234255368174
Iteration:  24900 	Average Loss:  1.3021618776371182
Iteration:  25000 	Average Loss:  1.3759586993256667
Iteration:  25100 	Average Loss:  1.4916132145166323
Iteration:  25200 	Average Loss:  1.4619556976706025
Iteration:  25300 	Average Loss:  1.4461192751668397
Iteration:  25400 	Average Loss:  1.2811479814442976
Iteration:  25500 	Average Loss:  1.15644315130129
Iteration:  25600 	Average Loss:  1.3368818254366017
Iteration:  25700 	Average Loss:  1.4238432584946663
Iteration:  25800 	Average Loss:  1.2433659500473209
Iteration:  25900 	Average Loss:  1.3253137950695282
Iteration:  26000 	Average Loss:  1.2141132081530115
Iteration:  26100 	Average Loss:  1.271922691625573
Iteration:  26200 	Average Loss:  1.1365770061768479
Iteration:  26300 	Average Loss:  1.3825535819362371
Iteration:  26400 	Average Loss:  1.5088069789654894
Iteration:  26500 	Average Loss:  1.3987653974210048
Iteration:  26600 	Average Loss:  1.2905018938625745
Iteration:  26700 	Average Loss:  1.3376613836449578
Iteration:  26800 	Average Loss:  1.3467699075977102
Iteration:  26900 	Average Loss:  1.1860078306928745
Iteration:  27000 	Average Loss:  1.3086001906376443
Iteration:  27100 	Average Loss:  1.1523136886221337
Iteration:  27200 	Average Loss:  1.3350705000709586
Iteration:  27300 	Average Loss:  1.224602627585021
Iteration:  27400 	Average Loss:  1.5722571239041598
Iteration:  27500 	Average Loss:  1.105331657603164
Iteration:  27600 	Average Loss:  1.3605441360318733
Iteration:  27700 	Average Loss:  1.2563701879120037
Iteration:  27800 	Average Loss:  1.3478336456053708
Iteration:  27900 	Average Loss:  1.261405764614652
Iteration:  28000 	Average Loss:  1.4285387445284419
Iteration:  28100 	Average Loss:  1.3890097809521496
Iteration:  28200 	Average Loss:  1.3402040546432736
Iteration:  28300 	Average Loss:  1.3964207176979446
Iteration:  28400 	Average Loss:  1.308363494268385
Iteration:  28500 	Average Loss:  1.2210982339000898
Iteration:  28600 	Average Loss:  1.2527087602361533
Iteration:  28700 	Average Loss:  1.3622771719380369
Iteration:  28800 	Average Loss:  1.3248526301766501
Iteration:  28900 	Average Loss:  1.2886428396408496
Iteration:  29000 	Average Loss:  1.3397014934120068
Iteration:  29100 	Average Loss:  1.2652579357022937
